Author,Title
Laurell K. Hamilton,A Kiss of Shadows
Laurell K. Hamilton,A Lick of Frost
Laurell K. Hamilton,Bloody Bones
Laurell K. Hamilton,Caress of Twilight
Laurell K. Hamilton,Divine Misdemeanors
Laurell K. Hamilton,The Lunatic Cafe
Laurell K. Hamilton,Cerulean Sins
Laurell K. Hamilton,A Stroke of Midnight
Laurell K. Hamilton,Circus of the Damned
Laurell K. Hamilton,Burnt Offerings
Laurell K. Hamilton,Obsidian Butterfly
Laurell K. Hamilton,Blue Moon
Laurell K. Hamilton,Incubus Dreams
Laurell K. Hamilton,The Killing Dance
Laurell K. Hamilton,Narcissus in Chains
Laurell K. Hamilton,Danse Macabre
Laurell K. Hamilton,Anita Blake Book 16 - Blood Noir
Laurell K. Hamilton,Guilty Pleasures
Laurell K. Hamilton,Anita Blake Book 18 - Flirt
Laurell K. Hamilton,Mistral's Kiss
Laurell K. Hamilton,Seduced by Moonlight
Laurell K. Hamilton,The Laughing Corpse
Laurell K. Hamilton,Never After
Laurell K. Hamilton,Bullet
Laurell K. Hamilton,Swallowing Darkness
Laurell K. Hamilton,Micah
Paolo Bacigalupi,The Windup Girl
Paolo Bacigalupi,The Gambler
Paolo Bacigalupi,The Tamarisk Hunter
Paolo Bacigalupi,Pump Six and Other Stories
Anya Bast,Witch Blood
Anya Bast,Cruel Enchantment
Anya Bast,Witch Fury
Anya Bast,Witch Heart
Anya Bast,Wicked Enchantment
Anya Bast,Witch Fire
Anya Bast,The Chosen Sin
Karen Marie Moning,Into the Dreaming
Karen Marie Moning,Shadowfever
Karen Marie Moning,The Highlander's Touch
Karen Marie Moning,Bloodfever
Karen Marie Moning,Dreamfever
Karen Marie Moning,To Tame a Highland Warrior
Karen Marie Moning,Darkfever
Karen Marie Moning,Kiss of the Highlander
Karen Marie Moning,Faefever
Karen Marie Moning,The Immortal Highlander
Karen Marie Moning,Beyond the Highland Myst
Karen Marie Moning,Spell of the Highlander
Scott Turow,Limitations
Scott Turow,Innocent
T. A. Pratt,Blood Engines
Eileen Wilks,Entangled
Eileen Wilks,Blood Challenge
Eileen Wilks,Mortal Danger
Eileen Wilks,Blood Lines
Eileen Wilks,Tempting Danger
Marina Fiorato,The Botticelli Secret
Betty Smith,A Tree Grows in Brooklyn
Darren Shan,Death's Shadow
Darren Shan,The Vampire's Assistant
Darren Shan,Dark Calling
Darren Shan,The Lake of Souls
Darren Shan,Trials of Death
Darren Shan,Vampire Prince
Darren Shan,Vampire Mountain
Darren Shan,Tunnels of Blood
Darren Shan,Allies of the Night
Darren Shan,Wolf Island
Darren Shan,Bec
Darren Shan,Demon Thief
Darren Shan,Slawter
Darren Shan,Hell's Heroes
Darren Shan,Killers of the Dawn
Darren Shan,Lord of the Shadows
Darren Shan,Hunters of the Dusk
Darren Shan,Lord Loss
Darren Shan,Demon Apocalypse
Darren Shan,Blood Beast
Darren Shan,Sons of Destiny
Darren Shan,A Living Nightmare
Alan Dean Foster,Flinx Transcendent
Alan Dean Foster,Phylogenesis
Alan Dean Foster,Chronicles of Riddick
Alan Dean Foster,For Love of Mother-Not
Alan Dean Foster,Mission to Moulokin
Alan Dean Foster,The Dig
Alan Dean Foster,Ghosts of Yesterday
Alan Dean Foster,Into the Thinking Kingdoms
Alan Dean Foster,Lost and Found
Alan Dean Foster,Star Trek Movie Tie-In
Alan Dean Foster,Human Blend
Alan Dean Foster,Dirge
Jennifer Estep,Widow's Web
Jennifer Estep,Spider's Bite
Jennifer Estep,Karma Girl
Jennifer Estep,Web of Lies
Jennifer Estep,Web of Death
Jennifer Estep,Deadly Sting
Jennifer Estep,Thread of Death
Jennifer Estep,Tangled Threads
Jennifer Estep,Spider's Bargain
Jennifer Estep,Spider's Revenge
Jennifer Estep,By a Thread
Jennifer Estep,Wasted
Jennifer Estep,Web of Deceit
Jennifer Estep,Venom
Jennifer Estep,Poison
Dexter Palmer,The Dream of Perpetual Motion
Sofi Oksanen,Purge
Cassandra Clare,Clockwork Angel
Cassandra Clare,City of Ashes
Cassandra Clare,City of Glass
Cassandra Clare,City of Bones
Cherie Priest,Bloodshot
Roger Rosenblatt,Making Toast
Felix Gilman,Thunderer
Felix Gilman,The Half-Made World
Dan Ariely,The Irrational Bundle
Samantha Harvey,The Wilderness
E.E. Knight,Vampire Earth 08 - Winter Duty
E.E. Knight,Vampire Earth 05 - Valentine's Exile
E.E. Knight,Vampire Earth 04 - Valentine's Rising
E.E. Knight,Age of Fire 04 - Dragon Strike
E.E. Knight,Vampire Earth 03 - Tale of the Thunderbolt
E.E. Knight,Vampire Earth 06 - Valentine's Resolve
E.E. Knight,Vampire Earth 01 - Way of the Wolf
E.E. Knight,Vampire Earth 07 - Fall with Honor
E.E. Knight,Vampire Earth 02 - Choice of the Cat
E.E. Knight,Vampire Earth 09 - March in Country
E.E. Knight,Dragon Rule
Rick Riordan,Rebel Island
Rick Riordan,The Sea of Monsters
Rick Riordan,The Lightning Thief
Rick Riordan,The Heroes of Olympus
Rick Riordan,Percy Jackson and the Last Olympian
Rick Riordan,The Red Pyramid
Rick Riordan,The Son of Neptune
Rick Riordan,The Titan's Curse
Rick Riordan,Cold Springs
Rick Riordan,The Battle of the Labyrinth
Rick Riordan,The Lost Hero
Rick Riordan,Mission Road
Rick Riordan,The Throne of Fire
Donna Ball,A Year on Ladybug Farm
Donna Ball,At Home on Ladybug Farm
Donna Ball,Love Letters from Ladybug Farm
Stephen R. Donaldson,Lord Foul's Bane
Stephen R. Donaldson,The Gap Into Madness
Stephen R. Donaldson,Chaos and Order
Stephen R. Donaldson,The Gap Into Power
Stephen R. Donaldson,Against All Things Ending
Stephen R. Donaldson,This Day All Gods Die
Stephen R. Donaldson,The Gap Into Ruin
Stephen R. Donaldson,The Real Story
Stephen R. Donaldson,The Gap Into Vision
Sheryl Sandberg,Lean In
Naomi Klein,The Shock Doctrine
Jack Campbell,The Lost Fleet 03 - Courageous
Jack Campbell,The Lost Fleet 02 - Fearless
Jack Campbell,The Lost Fleet 01 - Dauntless
Jack Campbell,Relentless
Jack Campbell,The Lost Fleet 04 - Valiant
Jack Campbell,The Lost Fleet 06 - Victorious
Anna Funder,All That I Am
Stieg Larsson,The Girl Who Kicked the Hornets' Nest
Stieg Larsson,The Girl Who Played With Fire
Stieg Larsson,The Girl With the Dragon Tattoo
Anne Bishop,The House of Gaian
Anne Bishop,Twilight's Dawn
Anne Bishop,The Pillars of the World
Anne Bishop,The Shadow Queen
Anne Bishop,Belladonna
Anne Bishop,Daughter of the Blood
Anne Bishop,The Invisible Ring
Anne Bishop,Sebastian
Anne Bishop,Shadows and Light
Anne Bishop,Queen of the Darkness
Anne Bishop,Shalador's Lady
Anne Bishop,Heir to the Shadows
Anne Bishop,Dreams Made Flesh
Anne Bishop,Tangled Webs
Stephen King,11/22/63
Jenna Blum,Those Who Save Us
John Flanagan,The Burning Bridge
John Flanagan,The Sorcerer of the North
John Flanagan,The Icebound Land
John Flanagan,The Siege of Macindaw
John Flanagan,The Battle for Skandia
John Flanagan,Erak's Ransom
John Flanagan,The Kings of Clonmel
John Flanagan,The Ruins of Gorlan
John Flanagan,Halt's Peril
Jim Fergus,One Thousand White Women
Lois McMaster Bujold,The Curse of Chalion
Lois McMaster Bujold,Mirror Dance
Lois McMaster Bujold,Memory
Lois McMaster Bujold,Borders of Infinity
Lois McMaster Bujold,The Sharing Knife: Passage
Lois McMaster Bujold,Cryoburn
Lois McMaster Bujold,The Spirit Ring
Lois McMaster Bujold,Brothers in Arms
Lois McMaster Bujold,Diplomatic Immunity
Lois McMaster Bujold,Paladin of Souls
Lois McMaster Bujold,Shards of Honor
Lois McMaster Bujold,The Warriors' Apprentice
Lois McMaster Bujold,Barrayar
Lois McMaster Bujold,Cetaganda
Lois McMaster Bujold,Falling Free
Lois McMaster Bujold,The Vor Game
Lois McMaster Bujold,The Sharing Knife: Beguilement
Lois McMaster Bujold,The Sharing Knife: Legacy
Lois McMaster Bujold,Ethan of Athos
J.R.R. Tolkien,The Two Towers
J.R.R. Tolkien,The Legend of Sigurd and Gudrun
J.R.R. Tolkien,The Silmarillion
J.R.R. Tolkien,The Lord of the Rings
J.R.R. Tolkien,The Hobbit
J.R.R. Tolkien,The Return of the King
J.R.R. Tolkien,The Children of Hurin
J.R.R. Tolkien,The Fellowship of the Ring
Robert Massie,Catherine the Great: Portrait of a Woman
Mitch Albom,The Five People You Meet in Heaven
Richard Yates,Revolutionary Road
Christopher Moore,Fool
Janet Evanovich,One for the Money
Ian McEwan,Atonement
Sue Monk Kidd,The Secret Life of Bees
C. S. Lewis,The Lion, the Witch and the Wardrobe
C. S. Lewis,Perelandra
C. S. Lewis,The Voyage of the Dawn Treader
C. S. Lewis,The Screwtape Letters
C. S. Lewis,A Grief Observed
C. S. Lewis,Mere Christianity
C. S. Lewis,The Silver Chair
C. S. Lewis,Out of the Silent Planet
C. S. Lewis,Prince Caspian
C. S. Lewis,That Hideous Strength
C. S. Lewis,The Last Battle
C. S. Lewis,The Magician's Nephew
C. S. Lewis,The Horse and His Boy
Lauren Kate,Fallen
Lauren Kate,Torment
Lauren Kate,The Fallen Sequence
Glen Cook,Whispering Nickel Idols
Glen Cook,Stars' End
Glen Cook,The Silver Spike
Glen Cook,Cold Copper Tears
Glen Cook,Shadowline
Glen Cook,Doomstalker
Glen Cook,Bitter Gold Hearts
Glen Cook,Lord of the Silent Kingdom
Glen Cook,Soldiers Live
Glen Cook,The Tyranny of the Night
Glen Cook,Surrender to the Will of the Night
Glen Cook,Starfishers
Glen Cook,Angry Lead Skies
Glen Cook,Shadow Games
Glen Cook,Warlock
Glen Cook,Ceremony
Glen Cook,Old Tin Sorrows
Glen Cook,Shadows Linger
Glen Cook,Dreams of Steel
Glen Cook,Gilded Latten Bones
Glen Cook,Water Sleeps
Glen Cook,She Is the Darkness
Glen Cook,Deadly Quicksilver Lies
Glen Cook,Bleak Seasons
Glen Cook,The Swordbearer
Glen Cook,The Black Company
Glen Cook,Red Iron Nights
Glen Cook,Faded Steel Heat
Glen Cook,The White Rose
Glen Cook,Petty Pewter Gods
Glen Cook,Sweet Silver Blues
Glen Cook,Cruel Zinc Melodies
Ben Bova,The Precipice
Ben Bova,Moonwar
Ben Bova,The Silent War
Ben Bova,Moonrise
Ben Bova,The Trikon Deception
Ben Bova,The Exiles Trilogy
Ben Bova,The Kinsman Saga Omnibus
Ben Bova,Orion Among the Stars
Ben Bova,Orion in the Dying Time
Ben Bova,Orion
Ben Bova,Vengeance of Orion
Ben Bova,Orion and the Conqueror
Ben Bova,The Aftermath
Ben Bova,Star Brothers
Ben Bova,The Watchmen
Ben Bova,Life As We Know It
Ben Bova,Death on Venus
Ben Bova,Remember Caesar
Ben Bova,Cafe Coup
C.J. Box,In Plain Sight
C.J. Box,Blue Heaven
C.J. Box,Cold Wind
C.J. Box,Nowhere to Run
C.J. Box,Open Season
C.J. Box,Winterkill
C.J. Box,Trophy Hunt
C.J. Box,Out of Range
C.J. Box,Free Fire
C.J. Box,Blood Trail
C.J. Box,Below Zero
C.J. Box,Savage Run
Edgar Rice Burroughs,Tarzan the Terrible
Edgar Rice Burroughs,The Master Mind of Mars
Edgar Rice Burroughs,The Lost Continent
Edgar Rice Burroughs,The Girl from Farris's
Edgar Rice Burroughs,John Carter of Mars - The Chessmen of Mars
Edgar Rice Burroughs,The Gods of Mars
Edgar Rice Burroughs,The People That Time Forgot
Edgar Rice Burroughs,Tarzan of the Apes
Edgar Rice Burroughs,Thuvia Maid of Mars
Edgar Rice Burroughs,A Fighting Man of Mars
Edgar Rice Burroughs,The Man-Eater
Edgar Rice Burroughs,The Monster Men
Edgar Rice Burroughs,At the Earth's Core
Edgar Rice Burroughs,Swords of Mars
Edgar Rice Burroughs,Tanar of Pellucidar
Edgar Rice Burroughs,Out of Time's Abyss
Edgar Rice Burroughs,The Efficiency Expert
Edgar Rice Burroughs,Synthetic Men of Mars
Edgar Rice Burroughs,The Eternal Savage
Edgar Rice Burroughs,The Cave Girl
Edgar Rice Burroughs,The Outlaw of Torn
Edgar Rice Burroughs,The Land That Time Forgot
Edgar Rice Burroughs,Savage Pellucidar
Edgar Rice Burroughs,The Warlord of Mars
Edgar Rice Burroughs,A Princess of Mars
Edgar Rice Burroughs,The Beasts of Tarzan
Edgar Rice Burroughs,The Return of Tarzan
Ransom Riggs,Miss Peregrine's Home for Peculiar Children
Nancy Holder,Son of the Sea
Nancy Holder,Saving Grace
Nancy Holder,Crusade
Nancy Holder,Son of the Shadows
Nancy Holder,Daughter of Flames
Nancy Holder,Daughter of the Blood
Nancy Holder,Possessions
Nancy Holder,The Evil Within
Cody McFadyen,The Darker Side
Cody McFadyen,Abandoned
Cody McFadyen,Shadow Man
Cody McFadyen,The Face of Death
Karl Schroeder,The Sunless Countries
Jan Philipp Sendker,The Art of Hearing Heartbeats
Mary Lawson,Crow Lake
Ilona Andrews,Magic Bleeds
Ilona Andrews,Must Love Hellhounds
Ilona Andrews,Bayou Moon
Ilona Andrews,Magic Burns
Ilona Andrews,Magic Slays
Ilona Andrews,Magic Rises
Ilona Andrews,Magic Bites
Ilona Andrews,Silent Blade
Ilona Andrews,On the Edge
Ilona Andrews,Questing Beast
Ilona Andrews,Magic Strikes
Kathryn Stockett,The Help
William Hill,Department 19
Sara Shepard,Heartless
Sara Shepard,Pretty Little Liars
Sara Shepard,Perfect
Sara Shepard,Wicked
Sara Shepard,The Lying Game
Sara Shepard,Killer
Sara Shepard,Wanted
Sara Shepard,Never Have I Ever
Sara Shepard,Unbelievable
Sara Shepard,Ruthless
Sara Shepard,Flawless
Seanan McGuire,Late Eclipses
Seanan McGuire,One Salt Sea
Seanan McGuire,An Artificial Night
Seanan McGuire,Rosemary and Rue
Seanan McGuire,A Local Habitation
Audrey Niffenegger,The Time Traveler's Wife
Kim Stanley Robinson,Forty Signs of Rain
Kim Stanley Robinson,Fifty Degrees Below
Kim Stanley Robinson,Escape from Kathmandu
Kim Stanley Robinson,The Best of Kim Stanley Robinson
Kim Stanley Robinson,Sixty Days and Counting
Jaycee Lee Dugard,A Stolen Life
David Baldacci,The Christmas Train
Donald Ray Pollock,Knockemstiff
Donald Ray Pollock,The Devil All the Time
Lemony Snicket,The Wide Window
Lemony Snicket,The Miserable Mill
Lemony Snicket,The Bad Beginning
Lemony Snicket,The Hostile Hospital
Lemony Snicket,The End
Lemony Snicket,The Austere Academy
Lemony Snicket,The Vile Village
Lemony Snicket,The Reptile Room
Lemony Snicket,The Carnivorous Carnival
Lemony Snicket,The Grim Grotto
Lemony Snicket,The Penultimate Peril
P.C. Cast,Dragon's Oath
P.C. Cast,Goddess of Spring
P.C. Cast,Burned
P.C. Cast,Divine Beginnings
P.C. Cast,Betrayed
P.C. Cast,Goddess of Love
P.C. Cast,Elphame's Choice
P.C. Cast,Divine by Blood
P.C. Cast,Tempted
P.C. Cast,Chosen
P.C. Cast,Awakened
P.C. Cast,Goddess by Mistake
P.C. Cast,Untamed
P.C. Cast,Divine by Choice
P.C. Cast,Goddess of the Sea
P.C. Cast,Goddess of Light
P.C. Cast,Warrior Rising
P.C. Cast,Hunted
